Job_Title,Company_Name,Company_Location,Job_Snippets,Job_Posted_Date,Salary_Details,Job_Pagelink
Python Developer,Limkokwing University,"Chennai, Tamil Nadu","['Posting will be in Chennai office or in Malaysia according to your choice.', 'Salary - 7 Lakhs to 10 Lakhs Per annum.', 'Total work: 1 year (Required).']",['Employer\nActive 7 days ago'],"₹7,00,000 a year",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DS_TvaUYaIInzpiZbJ7KedOTrd7HYA8sFB_gya5g8VBDyn385UKQgmLgZSHR8u0TItTqhA8r_DQdUNkt9MgHZxemEZ6B5Fv8y6OVv6SKRX_tvID38H_JYLGXBMrmM1tAxCQlnnru7I65XbffemvR1dWk2pcn1Sg6Wjk2ajRKJ2mUOLDF9VmStxiWyTiETPqEM6STg8HtnHe0CodN7dyM6T9_qPcrRese5tD6BkeBsWpjoO5PhzwZdPFmGZ1Vy95O4I8GlsilbjmNzVvzCxRk2VJUI9LExoPU1CrNzz50Z60LpWyym8EkMxX30eXuqAq7uiJaDwbsyFOAOYvl2tDCu_raIIR6CvdYTPNk6c56rdv5_dit2gZSme9C6s_YgcV6R-LAthaOFoEBC8zypJZu371KDYbCchveUswTi-cMuS_s7PVUC_bIzf9xFduACoXS1jlbNzfrxOKrMpEhJwlu30&p=0&fvj=1&vjs=3
Junior Software Developer (Fresher),Level Up,"Chennai, Tamil Nadu","['Level Up STC is looking for Junior Software developers (Fresher).', 'Must be ready to work on night shifts.', 'Must be good in communication skills.']",['Posted\nJust posted'],"₹15,000 - ₹30,000 a month",https://in.indeed.com/company/Level-Up/jobs/Junior-Software-Developer-fd8b162da8a05dd5?fccid=13c4b9327c6dfccc&vjs=3
Junior Python Developer,Resourcetree,"Chennai, Tamil Nadu","['Have you integrated sql with python Different type of integration you have used?', 'Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting…']",['Posted\n2 days ago'],"₹20,000 a month",https://in.indeed.com/company/resourcetree/jobs/Junior-Python-Developer-9ecc2c82b2a61aa1?fccid=827c26836ec837e9&vjs=3
Software Developer,Recsol global,"Remote in Perungudi, Chennai, Tamil Nadu","['Oops concepts / Sql / Logical programs / core java / python.', 'Sc- Computer Science/ IT/ Maths, BCA,BE/B.', 'Tech, MCA, M.Sc. Computer Science/ IT, MS- Master of…']",['Posted\n1 day ago'],"₹18,000 - ₹22,000 a month",https://in.indeed.com/company/Recsol-global/jobs/Software-Developer-c73658912f908c50?fccid=3622f9e752e0a650&vjs=3
Python and SQL Developer,RCI Digital Solution Pvt Ltd,"Nungambakkam, Chennai, Tamil Nadu","['Hands-on Experience as SQL Developer with any reporting tool.', 'To Design, develop, and support reports and dashboards using any reporting tool.']",['Employer\nActive 2 days ago'],"₹2,50,000 a year",https://in.indeed.com/company/RCI-Digital-Solution-Pvt-Ltd/jobs/Python-SQL-Developer-bfa3f843c6c52167?fccid=7ef4c240a4988be5&vjs=3
Trainee Software Developer,Avon Global Solutions Pvt Ltd,"Teynampet, Chennai, Tamil Nadu",[],['Employer\nActive 3 days ago'],"₹16,495 a month",https://in.indeed.com/company/Avon-Global-Solutions/jobs/Trainee-Software-Developer-9c90c010943a0b4b?fccid=3855a5a25433b10a&vjs=3
Python Developer,SURYA INFORMATICS SOLUTIONS PRIVATE LIMITED,"Ashok Nagar, Chennai, Tamil Nadu","['Candidates familiar with manipulating data using pandas / NumPy.', 'Familiar with writing rest API.', 'Working knowledge of the cloud environment.']",['Employer\nActive 4 days ago'],Not Issued,https://in.indeed.com/company/SURYA-INFORMATICS-SOLUTIONS-PRIVATE-LIMITED/jobs/Python-Developer-866181bca92756af?fccid=8ad6bd04478090bd&vjs=3
Python Developer,Systech Solutions,"Chennai, Tamil Nadu","['Knowledgeable in Shell / PowerShell scripting • Knowledgeable in relational databases, nonrelational databases, data streams, and file stores • Knowledgeable in…']",['Employer\nActive 5 days ago'],"₹2,36,380 - ₹4,99,276 a year",https://in.indeed.com/company/Systech-Solutions/jobs/Python-Developer-8203208ae27a6a4d?fccid=ad9432c88ab1ffce&vjs=3
Python Software Developer,Glim Technologies,"Medavakkam, Chennai, Tamil Nadu","['Should be able to write scalable and effective python codes.', 'Expert in python with knowledge of Django, Flask Web Frameworks.', 'Working Knowledge in Restful API.']",['Employer\nActive 3 days ago'],"₹3,00,000 - ₹7,00,000 a year",https://in.indeed.com/company/GLIM-TECHNOLOGIES/jobs/Python-Software-Developer-04487a30dceed645?fccid=3e29f27a66c997cf&vjs=3
Python Developer,Vingsfire HRIM Pvt Ltd,"Chennai, Tamil Nadu","['We are looking for a Python Developer to join our engineering team and help us develop and maintain various software products.', 'Part-time hours: 40 per week.']",['Posted\n30+ days ago'],"₹11,217 - ₹25,000 a month",https://in.indeed.com/company/Vingsfire/jobs/Python-Developer-3db4c086e3df2730?fccid=13d7f52e79bca49b&vjs=3
Python Developer,Resourcetree,"Chennai, Tamil Nadu","['Proficient in basic and advanced SQL programming concepts (Procedures, Analytical functions etc.).', 'Good Knowledge and Understanding of Data warehouse concepts …']",['Employer\nActive 2 days ago'],"₹4,00,000 a year",https://in.indeed.com/company/resourcetree/jobs/Python-Developer-a3ddd78fb614d5ee?fccid=827c26836ec837e9&vjs=3
Python Developer,Swift ProSys Pvt Ltd,"Chennai, Tamil Nadu","['Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.']",['Employer\nActive 2 days ago'],"₹10,000 - ₹20,000 a month",https://in.indeed.com/company/Swift/jobs/Python-Developer-1f0dda95351e16b0?fccid=f308842891fca939&vjs=3
Python Developer,v-edgelabs,"Remote in Chennai, Tamil Nadu","['Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required).', 'Total work: 1 year (Preferred).']",['Employer\nActive 3 days ago'],"₹4,00,000 a year",https://in.indeed.com/company/V--Edgelabs/jobs/Python-Developer-906c91ff9e77216f?fccid=ff8c9341d7f0ca9c&vjs=3
Frappe Developer + Python,Acme Hr Consulting,"Chennai, Tamil Nadu",['Frappe Framewok: 1 year (Required).'],['Posted\n1 day ago'],"₹5,00,000 - ₹16,00,000 a year",https://in.indeed.com/company/Acme-Infosystem-Professionals/jobs/Frappe-Developer-Python-45c14f2f37c3fe55?fccid=0b4f457d13ee80d2&vjs=3
Looking For Web Developer | Full Stack Developer ( Training...,Ficusoft Technologies Pvt Ltd,"Nandanam, Chennai, Tamil Nadu","['Web developer - A web developer is a programmer responsible for turning user stories, mockups, and web designs into functional websites.']",['Employer\nActive 5 days ago'],"₹25,000 - ₹35,000 a month",https://in.indeed.com/company/FICUSOFT-TECHNOLOGIES-PVT-LTD/jobs/Web-Developer-Full-Stack-Developer-bd636d7865efe536?fccid=7f7b6dc2c936ad6d&vjs=3
Java Backend Developer,Walmart,"Chennai, Tamil Nadu","['We use technology to operate smarter and deliver everyday low prices (EDLP) to customers and members.', 'This team extends industry leader Sterling Inventory…']",['Posted\n14 days ago'],Not Issued,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5mXFGwCT9lo97i3gsfTR9iTAPBTm16RjVfbVH6M8QHE8eZVK8zpxpcKaz6gNicGvWWdWpC1Z8ysLSITjMsjE1efnLo7yY8VvcPn092-FH5kRYgSGfRHNnYB_JGeakT6G69qc9WMWxJTIMfS742pGatA25_kF8dTupPhbk71-wtuCh1uq9lhGCfphXToiwPr4nK2fESZiuP1AlGqsTY3erdicJoa-b3gx_AZo-plrGz0nz90Uk1AIAx8pvhsXyy_437RXpOmiJ5taQNn2ulAC5_smYOI2dBFWUvBKbPOWk3877j2FZ16snOAytPQW1pBEmWB7R5xAAjv09N1xroReiJ8dqaTbRT8gXn3i-tvWRTlDA-UWB66uL1s83u59BhB4qmHx13FdH4MSTiI3LB-gOaHePwgCrBbmWjWZJblBbWH0BUUgEw6FW4NH4kiEvaSJAfvSGz8b8nya4QpEHOKJYbyzRNR5Cys9cw_5nb5KmQ07gERPVb_WENeQhY_vhLEF3UJhZgeWnKhcD-qbvy8ppFW39Hnm26mJ5hs2Kd6Su4lBhGuP4rIpoFUCD5rbvHxfS90Aq0ujR9ZmupLwdJzcMs6XjJhGJWtvkXY_0oc_fz_PPxQNR8r1aZTuyxWf_H92t8mNPPkiJ4ZcIdXy8XesoI5UWEy4E3SXhaJpZBO4zUhtL2FfZCmE6wkJOH5l4Q0ShA8b_ik0psG8FGuqd_Zy2&p=0&fvj=0&vjs=3
Python Developer,MADRAS SECURITY PRINTERS PRIVATE LIMITED,"Chennai, Tamil Nadu","['Practical Experience in Camera Interface with Python and OpenCV.', 'Knowledge of 2D Codes (QR Code, Data Matrix, Dot Code, etc).', 'Total work: 3 years (Preferred).']",['Posted\n1 day ago'],"₹20,000 - ₹25,000 a month",https://in.indeed.com/company/MADRAS-SECURITY-PRINTERS-PRIVATE-LIMITED/jobs/Python-Developer-a43654bb4caed15d?fccid=d369caaf082e77bb&vjs=3
Python developer,dv-indan,"Chennai, Tamil Nadu","['Python developer for a startup company in the field of process manufacturing industrial analytics.', 'The candidate will be the main full stack developer of this…']",['Posted\n16 days ago'],Not Issued,https://in.indeed.com/rc/clk?jk=8168146a097d9e7d&fccid=02085efd25c2e609&vjs=3
Jr. Python Developer,MavenAI Technologies,"Chennai, Tamil Nadu","['Can prefer someone who has idea about any of the asynchronous python framework,.', 'Experience min 2+ for junior.']",['Employer\nActive 16 days ago'],"₹3,00,000 - ₹6,00,000 a year",https://in.indeed.com/company/Dezzex/jobs/Junior-Python-Developer-541bf641f21e9fcc?fccid=bfca16e50363ca20&vjs=3
Python Developer,Vish Gyana Technology Solutions Private Limited,"Chennai, Tamil Nadu","['Understand business requirements and translate them into an efficient and effective server-side application.', 'Develop and deploy highly responsive and efficient…']",['Employer\nActive 2 days ago'],Not Issued,https://in.indeed.com/company/Vish-Gyana-Technology-Solutions-Private-Limited/jobs/Python-Developer-d43e1e4bd429a5e0?fccid=81571595bac8506a&vjs=3
Python Developer,CustomerLabs,"Hybrid remote in Chennai, Tamil Nadu","[""CustomerLabs's environment lets every Individual to work relaxed, flexible, and with utmost freedom to jam ideas and thoughts with no inhibitions and…""]",['Posted\n30+ days ago'],"₹4,00,000 - ₹6,00,000 a year",https://in.indeed.com/company/CustomerLabs/jobs/Python-Developer-ae8377622fccdb30?fccid=77b848db6d3a2a08&vjs=3
Python Developer,CinchIT Solutions LLP,"Remote in Chennai, Tamil Nadu","['\\*Coordinating with front-end developers.', 'In this role, the developer will be responsible for writing and testing scalable code, developing back-end components,…']",['Posted\n22 days ago'],"₹20,000 - ₹30,000 a month",https://in.indeed.com/company/CinchIt-Solutions/jobs/Python-Developer-7d3bef34d7d5be9b?fccid=f65921dfba0af038&vjs=3
Python Intern,HERE AND NOW - The French Institute,"Chennai, Tamil Nadu","['Coordinating with front-end developers.', 'In this role, you will be responsible for writing and testing scalable code, developing back-end components, and…']",['Employer\nActive 2 days ago'],"₹10,000 a month",https://in.indeed.com/company/Here-and-Now---The-French-Institute/jobs/Python-Intern-b091c548d6a0eaa9?fccid=59afec1ae62f4f36&vjs=3
Python Developer,Rightzone Resource Solutions Pvt Ltd,"Chennai, Tamil Nadu","['Chennai, Tamil Nadu: Reliably commute or planning to relocate before starting work (Preferred).', 'Total work: 1 year (Preferred).']",['Employer\nActive 4 days ago'],Not Issued,https://in.indeed.com/company/Rightzone-Resource-Solutions-Pvt-Ltd/jobs/Python-Developer-95eeaa77b03291ab?fccid=c8c72a910661653c&vjs=3
Python Developer,Sutherland,"Chennai, Tamil Nadu","['Participate in design, code reviews with other developers and test-case review with testers.', 'This position is responsible for developing and testing software…']",['Posted\n21 days ago'],Not Issued,https://in.indeed.com/rc/clk?jk=578c808d3357ead1&fccid=68d50bffa07f3fd5&vjs=3
Software Developer fresher,DCS India,"Temporarily Remote in Nungambakkam, Chennai, Tamil Nadu","['Develop quality software and web applications.', 'Analyze and maintain existing software applications.', 'Discover and fix programming bugs.']",['Employer\nActive 2 days ago'],"₹1,80,000 - ₹4,56,000 a year",https://in.indeed.com/company/DCS-India/jobs/Software-Developer-Fresher-6897ce36ef87aff0?fccid=95dd46c57b52c46c&vjs=3
Python Developer (AWS) immediate joining,VVT Solutions Pvt Ltd,"Adyar, Chennai, Tamil Nadu","['Develop back-end components to improve responsiveness and overall performance.', 'Integrate user-facing elements into applications.', 'Min 1 year of work experience.']",['Employer\nActive 20 days ago'],"₹25,000 - ₹40,000 a month",https://in.indeed.com/company/Collegesuggest.com/jobs/Python-Developer-Joining-bd5df5a93ffb8448?fccid=1dafc54bdcfb19d2&vjs=3
Python developer,ZS_South,"Chennai, Tamil Nadu",['Manage and deliver projects from conceptualization & visualization to technology mapping and final execution including scope/change requests.'],['Posted\n30+ days ago'],Not Issued,https://in.indeed.com/rc/clk?jk=3389f77ab8c49a09&fccid=dd616958bd9ddc12&vjs=3
Junior Software Developer,1 Crore Projects,"Chennai, Tamil Nadu","['BE CSE / ME CSE / B.', 'Java | Dotnet | Python | Embedded System | VLSI | PHP | Wordpress.', 'Excellent oral and written communication skills Must be willing to work…']",['Posted\n1 day ago'],"₹10,000 a month",https://in.indeed.com/company/1-Crore-Projects/jobs/Junior-Software-Developer-0b45344ada447cf8?fccid=3f703fc2cafee5eb&vjs=3
Full Stack Developer,White Mastery Systems,"Guindy, Chennai, Tamil Nadu","['Coordinating activities with other developers to ensure that integration projects are completed on time.', 'We are searching for a developer strong in Node.js to…']",['Posted\nToday'],"₹20,000 - ₹30,000 a month",https://in.indeed.com/company/White-Mastery-Systems/jobs/Full-Stack-Developer-3d7882db5af6b4c4?fccid=c132f7486f190dba&vjs=3
Quality Assurance Engineer,Oportun Inc,"Remote in Chennai, Tamil Nadu","['Providing feedback to developers on testing results.', 'Advanced programming skills (SQL, python, Shell scripting, Spark SQL and spark scripting).']",['Posted\n13 days ago'],Not Issued,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_oHR7jvpN5HR3CqZ22aILZ6qFd8EwL-InkRw-v0cCtKCQG5JyEvqri0xY07optJvYjsHOO6edqj-Kn0Lp-4JipFOyT6c_NPxxDdGqbwD8pPH4Rj5XTyO44XC5YPkUe2dis2ydXIxWtXQahVYKyphpAgGEulnpU-rLakYMVBfvSVzaPnnekAv0hXZKowlhWcWfWbo8nzCQhynv5WIrKiSR2LGb9hs5VvWvdz1c4pipUEckZVDLBGyCUDPKUk8K5l7Xv5_7KiykBT7i_pr4nuAW039BTR3YWq-uYxzaOUWm4YuFc2bCHAx8GYwMOE4guxlHmRl_rx7c_DmHIMjYvQX2OVdbd0fZDy1IOaIORXAwtmqcfAP-4K9u31IHSGRXOjMRRmcrgenKGRvxx4XVh50aityW4WGyuKXAa5hQIN1Xl3U4InopQC1MsUIor-s0ueWqXD1CB08HOuD0qUo8FvP6I8inpPu3dQLk6m9ZAkERhVvPLUqQyYdLr0gBT8V2DDbvfhAcNF4aWtcsY7FYI6nT7CrFvRpGIgCQtsmjTqntbuM4a6emRlXFuFtvHQMuoC-htijR8aHxHFmH9J_FhddU0JP-rv1BccYe2thU--B5fqYKAubrpLJAVGdmbwBJ6VhdvbEFoQHe7J6biBUCeW_OCcyZ40bEFr6y7b27J2xhCh6ChBdROLVrndYC0ACBGp0elGROTt8mppO88Otg_tlhxIEUDqEDGbohT429RNxpH83TuP7a-OJUtyTsLCiPYl3DRzS7mHq17TvtHTQ6rlU2dseHgs4khqqQv-dGMZMmcayoTqB4LXImkuKW2PoQQdLVnBCv-5kA1nKQa-PTYbpIWw-LMrwR0UNGbjiz_OU6-VRrWc04VUTDof5apH3UuUjpIDGdSOQpuIBL2hBoMyfD&p=0&fvj=0&vjs=3
iOS Developer,Numerator,Remote in India,"['Must have a Bachelors Degree in Computer Science, Computer Engineering, Software Engineer,.', 'A Masters Degree in one of the above disciplines highly preferred.']",['Posted\n30+ days ago'],Not Issued,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwhvtDhhMuSGvOgpEtJTRru83A1sJLDjPPZCOp3agw_UPR1rdTPXQozwbrGqxT83q6TMJ1HXyM1xHpwme4nGrksnBCxr26ZC-R4UZ29g_JTF-02a13fuR1ul9LjG96dJ7w-Gg0tDYmjykGfQ0V7Ar1zQifzZDbbojWoJDtvI0cS-skFkRZiJ1Ez12-Zh_6F90crzBbdyY5N3Oln-3GG_vRyva-4WFMBV-muf01Nx4mrCqeyaPea9hEgInenLuLbCqjEeKA4Zd43llLlxG5D6b1SfIUfJP3DS-zS_uKgjEB0FAGGEZF9S1lQYNXP1hxYYYlHrvoWWPVKz0IT-Tj44EeEb34HVp-SCl1Sjsj38klP-0VMWmAl_EqjuM-wAsVew4bd-L0L5RiOOm6457d7LHNIlIPZZcM21PxLrvX3fTzvneS0cRApYw-_orntIkA4GnRlVchIF5evSvQ2iTOv-WFp1IFOm9kgtS-QcUokd_uyG2RL14okxDnPwKl4fhkjTKmwCT5pwWoOd4U33nbjhxgHeQKUh4UORqzVcUUJNe0yjE9hrPaUWV5JsvhV9zBtk-sGiqmkfxPvsLqMbswh2Sbn26A4yshOEckttIqvFUKxg==&p=1&fvj=0&vjs=3
Python Developer,Deloitte,"Chennai, Tamil Nadu","['Proficient in Python, Spark (Pyspark), and SQl, Microservices python.', 'We work with specialists in many areas, and we apply our solutions to a wide range of…']",['Posted\n30+ days ago'],Not Issued,https://in.indeed.com/rc/clk?jk=f6247613e5aff182&fccid=9e215d88a6b33622&vjs=3
Python Developer,Acme Hr Consulting,"Remote in Chennai, Tamil Nadu","['Good to have experience in Data Engineering.', 'Git, GitHub and Git Flow.', 'Should have the understanding of software design pattern implementation.']",['Employer\nActive 7 days ago'],"₹5,00,000 - ₹14,00,000 a year",https://in.indeed.com/company/Acme-Infosystem-Professionals/jobs/Python-Developer-85a9c82ed4b85ede?fccid=0b4f457d13ee80d2&vjs=3
Backend Developer,Lead Integrated Business Services,"Valasaravakkam, Chennai, Tamil Nadu","['Analytical, results-driven Back-end Developer who will work with team members to troubleshoot and improve current back-end applications and processes.']",['Employer\nActive 2 days ago'],"₹25,000 - ₹65,000 a month",https://in.indeed.com/company/LEAD-Integrated-Business-Services/jobs/Backend-Developer-311a05e80a432611?fccid=2c7e66090538c2a7&vjs=3
Python Developer,HAQTO TECHNOLOGIES,"Chennai, Tamil Nadu","['Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services.']",['Employer\nActive 2 days ago'],"₹5,00,000 - ₹10,00,000 a year",https://in.indeed.com/company/Haqto-Technologies/jobs/Python-Developer-5e84efbd3c89eedb?fccid=c62742871dba318c&vjs=3
Snowflake Developer,Intellecto Global Services,"Remote in Chennai, Tamil Nadu","['This is a part time opportunity and candidate should work 2 hours daily monday to friday.', 'Preferred Skills: Cloud Platform- >Snowflake.']",['Employer\nActive 3 days ago'],"₹25,000 - ₹28,000 a month",https://in.indeed.com/company/GLIM-TECHNOLOGIES/jobs/Snowflake-Developer-84e0a4ec03c96c50?fccid=3e29f27a66c997cf&vjs=3
Software Developer Trainee,Appasamy Associates,"Arumbakkam, Chennai, Tamil Nadu",['We are looking for Software developer Trainee in C/C++ who are responsible for building applications in embedded systems.'],['Employer\nActive 2 days ago'],Not Issued,https://in.indeed.com/company/Appasamy-Associates/jobs/Software-Developer-Trainee-b23afe33d6fc25f6?fccid=88b63b01f2fa0ada&vjs=3
Python/Django Developer,WebDios Technologies,"Remote in Adyar, Chennai, Tamil Nadu","['1 to 3 years of experience building web applications and RESTful APIs in Python and Django Strong algorithmic, data structures and computational complexity.']",['Employer\nActive 4 days ago'],"₹1,00,000 - ₹2,50,000 a year",https://in.indeed.com/company/WebDios-Technologies/jobs/Python-Django-Developer-dbb3a5508797b6cc?fccid=ef7c38e43097da07&vjs=3
Python Qt Developer,Hub Work,"Chennai, Tamil Nadu","['Design, code and deliver UI capabilities using Qt that would interact with backend python functionalities seamlessly.', 'Strong Programming Skills in Python.']",['Posted\n10 days ago'],"₹1,20,000 - ₹3,00,000 a year",https://in.indeed.com/company/Hub-Work/jobs/Python-Qt-Developer-db5a3c93c56b5b56?fccid=6ffe0472f185e23f&vjs=3
Senior Python Developer,TVS Next,"Hybrid remote in Chennai, Tamil Nadu",['Partner with internal and external partners to develop the core systems and create APIs that power our best in class user experiences.'],['Posted\n30+ days ago'],Not Issued,https://in.indeed.com/rc/clk?jk=fdf9343a09611d5e&fccid=83a42c889f63ae2e&vjs=3
Python Developer,IBST Private Limited,"Chennai, Tamil Nadu","['Experience 3+ years of experience in Java with exceptional core Java skills & Python.', 'Working Experience of 2+ years in eclipse plug-in development, EMF, RCP.']",['Posted\n30+ days ago'],Not Issued,https://in.indeed.com/rc/clk?jk=9447d7da4e49657f&fccid=39fccf55504681f3&vjs=3
Software Developer,PONTUS GROUP OF COMPANIES,"Chennai, Tamil Nadu","['The candidate will be required to Design, Configure, Build, Test, Deploy and Maintain ERPNext and Frappe based applications:']",['Employer\nActive 8 days ago'],"₹12,000 - ₹16,000 a month",https://in.indeed.com/company/PONTUS-GROUP-OF-COMPANIES/jobs/Software-Developer-ea073f5c7cf48cbc?fccid=7921e8b300ef9655&vjs=3
Java Developer,Walmart,"Chennai, Tamil Nadu","['We use technology to operate smarter and deliver everyday low prices (EDLP) to customers and members.', 'Retail and Emerging Tech: This is the team which builds…']",['Posted\n25 days ago'],Not Issued,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5mXFGwCT9lo97i3gsfTR9iTAPBTm16RjVfbVH6M8QHE8eZVK8zpxpcKaz6gNicGur_-pQkyWfjw-npqg_K-QryGP_dlgwLolcQgryWW6oGntO-itvYecz8PI-x2De5EicKhlVRFfxGVJjtZG-8lTiZs2ZjlLOnz0dDOem2K0p1FDOGpPDZ75pS4rpEHPblpfUe4vYuOfGjy14MOgSx-xNNu2yVR3GMCUpH1kGV3dMq1YPam0Z3MyzZQT_0oRnqPA77dprb7RkigplVrhAVx-U_2f-97ScfJFsQJg-JW8pPkBAvg_NYm4jexbcMBo0VQZL5hbCkpVlHD7jck1Xk7fZcNRsWd3i0GsnQm02pzLAlnLFEEI-v-8G9llfrgKqDxOz8XmSSPJG_Rq5J6b9tn16uDTF_tjPasqKWAqOW7zTWb6uGYmdDsXNjW5BEU4N5S1MBQyWUioHYT_pdhHiBWYebtyXtqe9qVN-B6WImtvXmS8Bq1qxfdNs3-ldJqtuWzmlZA8frlJwYlV878TZTUtHjJZ34WhoehFC3clTulf5sfxj_O6PP4Ki_TS99fHyfqno2vbs3ID6bMK6ginr6jBi-LpCWaasa9ONnME9yQ5QWVXlhuAQF5c1qqIDQ-8_7cDRbCeE4Jm9KqbQTEwRZ3UF2lBo1WeCZT-0lxiWjUqIMHhSyiPP72VwGXB8QUv70gEpSRE_4vjgshtNpam2VcuJVpEIyR-thoQvVX2PlkbNHXZsWk6DGFzH&p=13&fvj=0&vjs=3
Devops Engineer,Walmart,"Chennai, Tamil Nadu","['Configured SCM tools like Git for developers to check in their codes.', 'We use technology to operate smarter and deliver everyday low prices (EDLP) to customers…']",['Posted\n14 days ago'],Not Issued,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5mXFGwCT9lo97i3gsfTR9iTAPBTm16RjVfbVH6M8QHE8eZVK8zpxpcKaz6gNicGvWWdWpC1Z8yro4aI4hXQMsPAz0CscWDL8gNBSybQ1W8PmKTvj3F4MBuLO7iiJgQs0ogfxMK97QA8FRUBCafURnqEmVzlOQpy3y8l4-ckfa0W4x9m-pQErrl3Z4oRdx5sJtonvLCVHjh4Rdz-5KV4sLnupOnOZUn9y1ufvZrCwC0aeoP86PkhtWRMLWMH-R7V_iYNvVwXlO9Xl2Qqoj-O7OmJtIyh2HZau-AWJGT54KwKTiLL7EFX0Q0ywDGJvfx9htjgXHKTpP3CgkinzBlseuyt0MADlG4JfzWeeAfI8P3L01rG4me2a8o0uRcmk8R_zSLWa6GxOFKYWCmvHDd4oGRgK92PI1pFyt9nyWGkMW2iYEqWzoj0cKsKx5I79I5MLXhtNeRv9kYGuMn5e6JWAcKAgB6gZ4Euirt7eCbQ_sxpaEyd_FqY9thz1vFwW2widF_ugTt_-6iA7n_VHksr2QViEbtEP56spVlr7H5eWXgQH82EqG7NwCjAYGpCYwgQR8sT0X46Hc4NRcQVi5OmgICQj67by6uBh7gXDHk2RA1pCSjZ6wdP3uMvs7DZJsAhndCd3ziQ9xC5bZWyuAXo8k4KYwFbIBjjsc3inauVNoLKz6xq9RPm_bEaTRGo0ImQGWk0ymOMh5RTJC9FGPB9M7W8qt1bW_WKujvDYO1UEuxA==&p=14&fvj=0&vjs=3
